Data Source,World Development Indicators,,,
,,,,
Honduras,HND,Military expenditure (current USD),MS.MIL.XPND.CD,407390257.8
Heavily indebted poor countries (HIPC),HPC,Military expenditure (current USD),MS.MIL.XPND.CD,9107286459
Croatia,HRV,Military expenditure (current USD),MS.MIL.XPND.CD,1001812141
Haiti,HTI,Military expenditure (current USD),MS.MIL.XPND.CD,113017.4895
Hungary,HUN,Military expenditure (current USD),MS.MIL.XPND.CD,2051055453
IBRD only,IBD,Military expenditure (current USD),MS.MIL.XPND.CD,5.65E+11
IDA & IBRD total,IBT,Military expenditure (current USD),MS.MIL.XPND.CD,5.95E+11
IDA total,IDA,Military expenditure (current USD),MS.MIL.XPND.CD,30004339799
IDA blend,IDB,Military expenditure (current USD),MS.MIL.XPND.CD,14839109412
Indonesia,IDN,Military expenditure (current USD),MS.MIL.XPND.CD,9003028193
IDA only,IDX,Military expenditure (current USD),MS.MIL.XPND.CD,15165230387
Isle of Man,IMN,Military expenditure (current USD),MS.MIL.XPND.CD,
India,IND,Military expenditure (current USD),MS.MIL.XPND.CD,71468900524
Not classified,INX,Military expenditure (current USD),MS.MIL.XPND.CD,
Ireland,IRL,Military expenditure (current USD),MS.MIL.XPND.CD,1112740708
"Iran, Islamic Rep.",IRN,Military expenditure (current USD),MS.MIL.XPND.CD,12528450211
Iraq,IRQ,Military expenditure (current USD),MS.MIL.XPND.CD,7598829336
Iceland,ISL,Military expenditure (current USD),MS.MIL.XPND.CD,0
Israel,ISR,Military expenditure (current USD),MS.MIL.XPND.CD,20504377104
Italy,ITA,Military expenditure (current USD),MS.MIL.XPND.CD,26380673981
Jamaica,JAM,Military expenditure (current USD),MS.MIL.XPND.CD,265261723.8
Jordan,JOR,Military expenditure (current USD),MS.MIL.XPND.CD,2032112676
Japan,JPN,Military expenditure (current USD),MS.MIL.XPND.CD,47609019987
Kazakhstan,KAZ,Military expenditure (current USD),MS.MIL.XPND.CD,1928776022
Kenya,KEN,Military expenditure (current USD),MS.MIL.XPND.CD,1116872420
Kyrgyz Republic,KGZ,Military expenditure (current USD),MS.MIL.XPND.CD,128943451.8
Cambodia,KHM,Military expenditure (current USD),MS.MIL.XPND.CD,595407617.7
Kiribati,KIR,Military expenditure (current USD),MS.MIL.XPND.CD,
St. Kitts and Nevis,KNA,Military expenditure (current USD),MS.MIL.XPND.CD,
"Korea, Rep.",KOR,Military expenditure (current USD),MS.MIL.XPND.CD,43890861986
Kuwait,KWT,Military expenditure (current USD),MS.MIL.XPND.CD,7373519737
Latin America & Caribbean (excluding high income),LAC,Military expenditure (current USD),MS.MIL.XPND.CD,54102379256
Lao PDR,LAO,Military expenditure (current USD),MS.MIL.XPND.CD,
Lebanon,LBN,Military expenditure (current USD),MS.MIL.XPND.CD,2521246648
Liberia,LBR,Military expenditure (current USD),MS.MIL.XPND.CD,19228500
Libya,LBY,Military expenditure (current USD),MS.MIL.XPND.CD,
St. Lucia,LCA,Military expenditure (current USD),MS.MIL.XPND.CD,
Latin America & Caribbean,LCN,Military expenditure (current USD),MS.MIL.XPND.CD,60611977783
Least developed countries: UN classification,LDC,Military expenditure (current USD),MS.MIL.XPND.CD,15070830040
Low income,LIC,Military expenditure (current USD),MS.MIL.XPND.CD,5154064039
Liechtenstein,LIE,Military expenditure (current USD),MS.MIL.XPND.CD,
Sri Lanka,LKA,Military expenditure (current USD),MS.MIL.XPND.CD,1699785117
Lower middle income,LMC,Military expenditure (current USD),MS.MIL.XPND.CD,1.50E+11
